Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
1F7224       8    Yes    001F6A49-001F6A50        8
1F7234      10    No     001F6A51-001F6A65       15
1F7244      10    Yes    001F6A66-001F6A6D        8
1F7254      10    No     001F6A6E-001F6A82       15
1F7264      10    Yes    001F6A83-001F6A8A        8
1F7275       F    No     001F6A8B-001F6A9E       14
1F7284      10    Yes    001F6A9F-001F6AA6        8
1F7295       F    No     001F6AA7-001F6ABA       14
1F72A4      10    Yes    001F6ABB-001F6AC2        8
1F72B5       F    No     001F6AC3-001F6AD6       14
1F72C4       C    Yes    001F6AD7-001F6ADE        8
1F72D5      1E    No     001F6ADF-001F6B01       23
1F7300      13    No     001F6B02-001F6B19       18
1F7313      11    Yes    001F6B1A-001F6B21        8
1F7324      10    No     001F6B22-001F6B36       15
1F7335       F    Yes    001F6B37-001F6B3E        8
1F7344      10    No     001F6B3F-001F6B53       15
1F7355       F    Yes    001F6B54-001F6B5B        8
1F7364      14    No     001F6B5C-001F6B74       19
1F7380      14    No     001F6B75-001F6B8D       19
1F7395       F    Yes    001F6B8E-001F6B95        8
1F73A4      14    No     001F6B96-001F6BAE       19
1F73C0      14    No     001F6BAF-001F6BC7       19
1F73D5       F    Yes    001F6BC8-001F6BCF        8
1F73E4      14    No     001F6BD0-001F6BE8       19
1F7400      14    No     001F6BE9-001F6C01       19
1F7415       F    Yes    001F6C02-001F6C09        8
1F7424      14    No     001F6C0A-001F6C22       19
1F7440      14    No     001F6C23-001F6C3B       19
1F7455       F    Yes    001F6C3C-001F6C43        8
1F7464      14    No     001F6C44-001F6C5C       19
1F7480      13    No     001F6C5D-001F6C74       18
1F7493      11    Yes    001F6C75-001F6C7C        8
1F74A4      14    No     001F6C7D-001F6C95       19
1F74C0      13    No     001F6C96-001F6CAD       18
1F74D3      21    Yes    001F6CAE-001F6CB5        8
1F74F5       F    No     001F6CB6-001F6CC9       14
1F7504      10    Yes    001F6CCA-001F6CD1        8
1F7515      13    No     001F6CD2-001F6CE9       18
1F7531      13    No     001F6CEA-001F6D01       18
1F7544     1A0    Yes    001F6D02-001F6D09        8
1F76E4      14    No     001F6D0A-001F6D22       19
1F7704       F    No     001F6D23-001F6D36       14
1F7724       F    No     001F6D37-001F6D4A       14
1F78E6      18    No     001F6D4B-001F6D67       1D
1F7906      18    No     001F6D68-001F6D84       1D
1F7926      18    No     001F6D85-001F6DA1       1D
1F7946      18    No     001F6DA2-001F6DBE       1D
1F7966      18    No     001F6DBF-001F6DDB       1D
1F7986      18    No     001F6DDC-001F6DF8       1D
1F79A6      18    No     001F6DF9-001F6E15       1D
1F79C6      18    No     001F6E16-001F6E32       1D
1F79E6      18    No     001F6E33-001F6E4F       1D
1F7A07      17    No     001F6E50-001F6E6B       1C
1F7A26      18    No     001F6E6C-001F6E88       1D
1F7A47      17    No     001F6E89-001F6EA4       1C
1F7A67      17    No     001F6EA5-001F6EC0       1C
1F7A86      18    No     001F6EC1-001F6EDD       1D
1F7AA6      18    No     001F6EDE-001F6EFA       1D
1F7AC6      18    No     001F6EFB-001F6F17       1D
1F7AE6      18    No     001F6F18-001F6F34       1D
1F7B06      18    No     001F6F35-001F6F51       1D
1F7B26      18    No     001F6F52-001F6F6E       1D
1F7B46      18    No     001F6F6F-001F6F8B       1D
1F7B66      18    No     001F6F8C-001F6FA8       1D
1F7B86      18    No     001F6FA9-001F6FC5       1D
1F7BA6      18    No     001F6FC6-001F6FE2       1D
1F7BC6      18    No     001F6FE3-001F6FFF       1D
1F7BE6      18    No     001F7000-001F701C       1D
1F7C06      18    No     001F701D-001F7039       1D
1F7C26      18    No     001F703A-001F7056       1D
1F7C46      18    No     001F7057-001F7073       1D
1F7C66      18    No     001F7074-001F7090       1D
1F7C86      18    No     001F7091-001F70AD       1D
1F7CA7      17    No     001F70AE-001F70C9       1C
1F7CC6      18    No     001F70CA-001F70E6       1D
1F7CE7      17    No     001F70E7-001F7102       1C
1F7D07      17    No     001F7103-001F711E       1C
1F7D26      18    No     001F711F-001F713B       1D
1F7D46      18    No     001F713C-001F7158       1D
1F7D66      18    No     001F7159-001F7175       1D
1F7D86      18    No     001F7176-001F7192       1D
1F7DA6      18    No     001F7193-001F71AF       1D
1F7DC6      18    No     001F71B0-001F71CC       1D
1F7DE6      18    No     001F71CD-001F71E9       1D
1F7E06      18    No     001F71EA-001F7206       1D
1F7E26      18    No     001F7207-001F7223       1D
1F7E46      18    No     001F7224-001F7240       1D
1F7E66       E    No     001F7241-001F7253       13
1F7E74       A    Yes    001F7254-001F725B        8
1F7E86      18    No     001F725C-001F7278       1D
1F7EAE       C    No     001F7279-001F7289       11
1F7EC6      18    No     001F728A-001F72A6       1D
1F7EE6      18    No     001F72A7-001F72C3       1D
1F7F06      18    No     001F72C4-001F72E0       1D
1F7F26      18    No     001F72E1-001F72FD       1D
1F7F46      18    No     001F72FE-001F731A       1D
1F7F66      18    No     001F731B-001F7337       1D
1F7F86       A    Yes    001F7338-001F733F        8
1F7F90       E    No     001F7340-001F7352       13
1F7FA6      18    No     001F7353-001F736F       1D
1F7FC6      18    No     001F7370-001F738C       1D
1F7FE6      18    No     001F738D-001F73A9       1D
1F8006      18    No     001F73AA-001F73C6       1D
1F8026      18    No     001F73C7-001F73E3       1D
1F8046      18    No     001F73E4-001F7400       1D
1F8066      18    No     001F7401-001F741D       1D
1F8086      18    No     001F741E-001F743A       1D
1F80A6      18    No     001F743B-001F7457       1D
1F80C6      18    No     001F7458-001F7474       1D
1F80E6      18    No     001F7475-001F7491       1D
1F8106      18    No     001F7492-001F74AE       1D
1F8126      18    No     001F74AF-001F74CB       1D
1F8146      18    No     001F74CC-001F74E8       1D
1F8166      18    No     001F74E9-001F7505       1D
1F8186      18    No     001F7506-001F7522       1D
1F81A6      18    No     001F7523-001F753F       1D
1F81C6      18    No     001F7540-001F755C       1D
1F81E6      18    No     001F755D-001F7579       1D
1F8206      18    No     001F757A-001F7596       1D
1F8226      18    No     001F7597-001F75B3       1D
1F8246      18    No     001F75B4-001F75D0       1D
1F8266      18    No     001F75D1-001F75ED       1D
1F8286      18    No     001F75EE-001F760A       1D
1F82A6      18    No     001F760B-001F7627       1D
1F82C6      18    No     001F7628-001F7644       1D
1F82E6      18    No     001F7645-001F7661       1D
1F8306      18    No     001F7662-001F767E       1D
1F8327      17    No     001F767F-001F769A       1C
1F8346      18    No     001F769B-001F76B7       1D
1F8366      18    No     001F76B8-001F76D4       1D
1F8386      18    No     001F76D5-001F76F1       1D
1F83A6      18    No     001F76F2-001F770E       1D
1F83C6      18    No     001F770F-001F772B       1D
1F83E6      18    No     001F772C-001F7748       1D
1F8406      18    No     001F7749-001F7765       1D
1F8427      17    No     001F7766-001F7781       1C
1F8446      18    No     001F7782-001F779E       1D
1F8466      18    No     001F779F-001F77BB       1D
1F8486      18    No     001F77BC-001F77D8       1D
1F84A6      18    No     001F77D9-001F77F5       1D
1F84C6      18    No     001F77F6-001F7812       1D
1F84E6      18    No     001F7813-001F782F       1D
1F8506      18    No     001F7830-001F784C       1D
1F8526      18    No     001F784D-001F7869       1D
1F8546      18    No     001F786A-001F7886       1D
1F8566      18    No     001F7887-001F78A3       1D
1F8586      18    No     001F78A4-001F78C0       1D
1F85A6      18    No     001F78C1-001F78DD       1D
1F85C6      18    No     001F78DE-001F78FA       1D
1F85E6      18    No     001F78FB-001F7917       1D
1F8606      18    No     001F7918-001F7934       1D
1F8626      18    No     001F7935-001F7951       1D
1F8646      18    No     001F7952-001F796E       1D
1F8666      18    No     001F796F-001F798B       1D
1F8686      18    No     001F798C-001F79A8       1D
1F86A6      18    No     001F79A9-001F79C5       1D
1F86C7      17    No     001F79C6-001F79E1       1C
1F86E6      18    No     001F79E2-001F79FE       1D
1F8706      18    No     001F79FF-001F7A1B       1D
1F8726      18    No     001F7A1C-001F7A38       1D
1F8746      18    No     001F7A39-001F7A55       1D
1F8766      18    No     001F7A56-001F7A72       1D
1F8786      18    No     001F7A73-001F7A8F       1D
1F87A6      18    No     001F7A90-001F7AAC       1D
1F87C6      18    No     001F7AAD-001F7AC9       1D
1F87E6      18    No     001F7ACA-001F7AE6       1D
1F880E       E    No     001F7AE7-001F7AF9       13
1F882E       E    No     001F7AFA-001F7B0C       13
1F884F       D    No     001F7B0D-001F7B1E       12
1F886E       E    No     001F7B1F-001F7B31       13
1F8886      18    No     001F7B32-001F7B4E       1D
1F88A6      18    No     001F7B4F-001F7B6B       1D
1F88C6      18    No     001F7B6C-001F7B88       1D
1F88E6      18    No     001F7B89-001F7BA5       1D
1F8906      18    No     001F7BA6-001F7BC2       1D
1F8926      18    No     001F7BC3-001F7BDF       1D
1F8946      18    No     001F7BE0-001F7BFC       1D
1F8966      18    No     001F7BFD-001F7C19       1D
1F8986      18    No     001F7C1A-001F7C36       1D
1F89A6      18    No     001F7C37-001F7C53       1D
1F89C6      18    No     001F7C54-001F7C70       1D
1F89E6      18    No     001F7C71-001F7C8D       1D
1F8A06      18    No     001F7C8E-001F7CAA       1D
1F8A26      18    No     001F7CAB-001F7CC7       1D
1F8A46      18    No     001F7CC8-001F7CE4       1D
1F8A66      18    No     001F7CE5-001F7D01       1D
1F8A86      18    No     001F7D02-001F7D1E       1D
1F8AA6      18    No     001F7D1F-001F7D3B       1D
1F8AC6      18    No     001F7D3C-001F7D58       1D
1F8AE6      18    No     001F7D59-001F7D75       1D
1F8B06      18    No     001F7D76-001F7D92       1D
1F8B26      18    No     001F7D93-001F7DAF       1D
1F8B46      18    No     001F7DB0-001F7DCC       1D
1F8B66      18    No     001F7DCD-001F7DE9       1D
1F8B86      18    No     001F7DEA-001F7E06       1D
1F8BA6      18    No     001F7E07-001F7E23       1D
1F8BC6      18    No     001F7E24-001F7E40       1D
1F8BE6      18    No     001F7E41-001F7E5D       1D
1F8C06      18    No     001F7E5E-001F7E7A       1D
1F8C26      18    No     001F7E7B-001F7E97       1D
1F8C46      18    No     001F7E98-001F7EB4       1D
1F8C66      18    No     001F7EB5-001F7ED1       1D
1F8C86      18    No     001F7ED2-001F7EEE       1D
1F8CA6      18    No     001F7EEF-001F7F0B       1D
1F8CC6      18    No     001F7F0C-001F7F28       1D
1F8CE6       E    No     001F7F29-001F7F3B       13
1F8CF4       A    Yes    001F7F3C-001F7F43        8
1F8D06      18    No     001F7F44-001F7F60       1D
1F8D26      18    No     001F7F61-001F7F7D       1D
1F8D46      18    No     001F7F7E-001F7F9A       1D
1F8D66      18    No     001F7F9B-001F7FB7       1D
1F8D86      18    No     001F7FB8-001F7FD4       1D
1F8DA6      18    No     001F7FD5-001F7FF1       1D
1F8DC6      18    No     001F7FF2-001F800E       1D
1F8DE6      18    No     001F800F-001F802B       1D
1F8E06      18    No     001F802C-001F8048       1D
1F8E26      18    No     001F8049-001F8065       1D
1F8E47      17    No     001F8066-001F8081       1C
1F8E66      18    No     001F8082-001F809E       1D
1F8E86      18    No     001F809F-001F80BB       1D
1F8EA6      18    No     001F80BC-001F80D8       1D
1F8EC6      18    No     001F80D9-001F80F5       1D
1F8EE6      18    No     001F80F6-001F8112       1D
1F8F06      18    No     001F8113-001F812F       1D
1F8F26      18    No     001F8130-001F814C       1D
1F8F46      18    No     001F814D-001F8169       1D
1F8F66      18    No     001F816A-001F8186       1D
1F8F86      18    No     001F8187-001F81A3       1D
1F8FA6      18    No     001F81A4-001F81C0       1D
1F8FC6      18    No     001F81C1-001F81DD       1D
1F8FE6      18    No     001F81DE-001F81FA       1D
1F9006      18    No     001F81FB-001F8217       1D
1F9026      18    No     001F8218-001F8234       1D
1F9046      18    No     001F8235-001F8251       1D
1F9066      18    No     001F8252-001F826E       1D
1F9086      18    No     001F826F-001F828B       1D
1F90A6      18    No     001F828C-001F82A8       1D
1F90C6      18    No     001F82A9-001F82C5       1D
1F90E6      18    No     001F82C6-001F82E2       1D
1F9106      18    No     001F82E3-001F82FF       1D
1F9126      18    No     001F8300-001F831C       1D
1F9147      17    No     001F831D-001F8338       1C
1F9166      18    No     001F8339-001F8355       1D
1F9186      18    No     001F8356-001F8372       1D
1F91A6      18    No     001F8373-001F838F       1D
1F91C6      18    No     001F8390-001F83AC       1D
1F91E6      18    No     001F83AD-001F83C9       1D
1F9206      18    No     001F83CA-001F83E6       1D
1F9226      18    No     001F83E7-001F8403       1D
1F9246      18    No     001F8404-001F8420       1D
1F9266      18    No     001F8421-001F843D       1D
1F9286      18    No     001F843E-001F845A       1D
1F92A7      17    No     001F845B-001F8476       1C
1F92C6      18    No     001F8477-001F8493       1D
1F92E6      18    No     001F8494-001F84B0       1D
1F9306      18    No     001F84B1-001F84CD       1D
1F9326      18    No     001F84CE-001F84EA       1D
1F9347      17    No     001F84EB-001F8506       1C
1F9366      18    No     001F8507-001F8523       1D
1F9386      18    No     001F8524-001F8540       1D
1F93A6      18    No     001F8541-001F855D       1D
1F93C6      18    No     001F855E-001F857A       1D
1F93E6      18    No     001F857B-001F8597       1D
1F9406      18    No     001F8598-001F85B4       1D
